Species,Long,Lat ,MSB:Mamm:196608
C c merriami,-105.618518,32.886983,35290495
C c merriami,-105.618359,32.865326,34405588
C c merriami,-105.61833,32.891129,34188774
C c merriami,-105.617965,32.947944,21103112
C c merriami,-105.617851,32.87775,35399022
C c merriami,-105.616866,32.974668,15187976
C c merriami,-105.616171,32.832813,14120458
C c merriami,-105.615607,32.831157,14865955
C c merriami,-105.615327,32.812567,15376306
C c merriami,-105.614878,32.865627,20068334
C c merriami,-105.613388,32.938115,21136573
C c merriami,-105.612636,32.929286,33685912
C c merriami,-105.61038,32.837263,36062180
C c merriami,-105.61013,32.922242,15582986
C c merriami,-105.61013,33.044406,14347945
C c merriami,-105.609352,32.928239,29152057
C c merriami,-105.609313,32.994958,33324369
C c merriami,-105.609104,32.948041,29690183
C c merriami,-105.607909,33.145626,14348704
C c merriami,-105.607427,32.81158,13580327
C c merriami,-105.607265,32.930811,22368811
C c merriami,-105.606553,32.89862,21860970
C c merriami,-105.606159,32.8507,33701125
C c merriami,-105.605295,32.817114,35290333
C c merriami,-105.604923,32.838675,33994296
C c merriami,-105.604609,32.864282,34066041
C c merriami,-105.603694,32.998892,28872919
C c merriami,-105.602994,32.936801,33238338
C c merriami,-105.600922,32.906762,14468303
C c merriami,-105.600897,32.973157,30045913
C c merriami,-105.600072,32.812409,18084392
C c merriami,-105.589979,32.986951,25428139
C c merriami,-105.57464,33.097457,35308190
C c merriami,-105.562145,32.953737,4716144
C c merriami,-105.465507,32.877857,26311641
C c merriami,-105.455259,32.953463,26328391
C c merriami,-105.418447,36.356051,27502500
C c merriami,-105.413861,32.958667,21665123
C c merriami,-105.4136,33.020392,33111081
C c merriami,-105.253066,35.415156,19061892
C c merriami,-105.194917,35.45841,6436278
C c merriami,-105.14818,35.472754,9868300
C c merriami,-104.816729,32.888099,30420751
C c merriami,-104.575856,36.43128,29028178
C c merriami,-105.300307,36.745618,13875662
C c merriami,-105.262735,36.722192,12457390
C c merriami,-105.327041,36.582417,28903753
C c merriami,-105.055887,36.419625,778654
C c merriami,-105.39095,36.386787,28113532
C c merriami,-107.997253,36.197748,39480257
C c merriami,-107.893045,36.114857,26982647
C c merriami,-107.97811,36.143712,26153631
