Species,Long,Lat,ID
C. candadensis,-121.601185,37.255302,40009558
C. candadensis,-121.600446,37.255458,20930477
C. candadensis,-121.570619,37.286139,134447
C. candadensis,-121.632386,37.292305,10092892
C. candadensis,-121.621295,37.297522,20715074
C. candadensis,-121.472596,37.304206,9138420
C. candadensis,-121.605035,37.304457,10135635
C. candadensis,-121.653876,37.314815,24700441
C. candadensis,-121.626268,37.316684,10093020
C. candadensis,-121.321433,37.318732,9138398
C. candadensis,-121.619899,37.329167,24424550
C. candadensis,-121.6483,37.339716,39426090
C. candadensis,-121.59565,37.350945,8970
C. candadensis,-121.659531,37.352671,10092856
C. candadensis,-121.630808,37.353345,19539115
C. candadensis,-121.494518,37.363235,5874626
C. candadensis,-121.667615,37.3953,20930476
C. candadensis,-121.655421,37.397177,10118352
C. candadensis,-121.573039,37.399511,5861111
C. candadensis,-121.5999,37.654949,558453
C. candadensis,-121.543284,37.670864,3629589
C. candadensis,-121.231507,40.693695,19556944
C. candadensis,-121.231786,40.694298,19556923
C. candadensis,-121.518573,43.78534,19298643
C. candadensis,-121.432601,43.869288,6587879
C. candadensis,-121.446748,43.870379,3052679
C. candadensis,-121.233731,51.484078,23081036
C. candadensis,-121.522102,56.244448,26885835
C. candadensis,-121.562178,45.042274,13795905
C. candadensis,-121.640996,37.219314,37507716
C. candadensis,-121.648124,46.629547,6242744
C. candadensis,-120.886166,37.036186,36793168
C. candadensis,-121.200598,37.037674,27735334
C. candadensis,-120.945329,37.043088,16791321
C. candadensis,-120.957712,37.046624,19127756
C. candadensis,-120.832575,37.051078,21437292
C. candadensis,-120.877015,37.058007,4760553
C. candadensis,-120.990009,37.058143,36793281
C. candadensis,-121.156523,37.060008,14585657
C. candadensis,-121.383204,37.060692,15244218
C. candadensis,-120.984001,37.065582,19577547
C. candadensis,-121.01313,37.066801,34149820
C. candadensis,-121.246624,37.07048,35104000
C. candadensis,-120.871741,37.071804,36793270
C. candadensis,-121.387767,37.073309,9690706
C. candadensis,-121.177981,37.076482,25419181
C. candadensis,-121.088268,37.078761,9036689
C. candadensis,-120.988101,37.081202,21437251
C. candadensis,-121.268295,37.082667,17054316
C. candadensis,-121.097114,37.083269,19964690
C. candadensis,-120.975559,37.097987,36793275
C. candadensis,-121.374975,37.100367,13573985
C. candadensis,-120.911365,37.101636,151879
C. candadensis,-120.900193,37.105809,16611062
C. candadensis,-120.960091,37.10946,39562862
C. candadensis,-120.974085,37.110955,21437207
C. candadensis,-120.923426,37.112918,36793273
C. candadensis,-121.079834,37.11858,34190426
C. candadensis,-121.100375,37.129722,10502576
C. candadensis,-121.018609,37.131261,22066428
C. candadensis,-121.353327,37.132057,9693479
C. candadensis,-121.099599,37.140618,14409155
C. candadensis,-120.784147,37.145232,31162146
C. candadensis,-121.279572,37.146739,31638656
C. candadensis,-120.824227,37.096787,36793274
C. candadensis,-120.813032,37.068428,16611063
C. candadensis,-120.81101,37.089471,4861526
C. candadensis,-121.361934,37.033171,9683445
C. candadensis,-121.239886,37.020762,37151625
C. candadensis,-120.963733,37.020338,36983577
C. candadensis,-120.928941,37.054834,4778963
C. candadensis,-120.917588,37.023779,14574620
C. candadensis,-120.838375,37.001573,10256394
C. candadensis,-120.825889,37.031297,36181741
C. candadensis,-115.741707,36.425966,2568618
C. candadensis,-115.741172,36.416172,34378131
C. candadensis,-115.739937,36.426234,2568643
C. candadensis,-115.732062,36.422867,5213338
C. candadensis,-115.727492,36.422574,5213308
C. candadensis,-115.599167,36.183056,7762162
C. candadensis,-115.599167,36.182778,7762165
C. candadensis,-115.599167,36.182778,7762163
C. candadensis,-115.599167,36.182778,7762164
C. candadensis,-115.496563,36.020628,1933327
C. candadensis,-120.895508,35.701083,30976223
C. candadensis,-121.21816,36.026627,9865935
C. candadensis,-120.907395,36.203336,10912422
C. candadensis,-120.835992,36.20865,9843584
C. candadensis,-120.827876,36.239196,9683615
C. candadensis,-120.84708,36.249501,9843583
C. candadensis,-120.909793,36.321073,9690671
C. candadensis,-120.768119,36.336009,9690771
C. candadensis,-120.935523,36.336567,39122357
C. candadensis,-121.016176,37.010453,10502575
C. candadensis,-121.351879,37.011085,9684237
C. candadensis,-120.940377,37.01151,15776892
C. candadensis,-120.881373,37.015309,9022036
C. candadensis,-120.877149,37.01892,19577548
C. candadensis,-120.890269,37.021351,18790505
C. candadensis,-120.825853,37.022351,20032846
C. candadensis,-120.918115,37.023521,36793269
C. candadensis,-120.91347,37.024747,9640505
C. candadensis,-121.129089,37.024861,21276650
C. candadensis,-120.821948,37.019417,17900067
C. candadensis,-120.829602,37.011132,9943357
C. candadensis,-121.02477,37.148261,38250022
C. candadensis,-120.814277,37.153809,36181740
C. candadensis,-120.940798,37.167222,14224660
C. candadensis,-120.869873,37.16867,19900477
C. candadensis,-121.029455,37.172247,21224559
C. candadensis,-120.901728,37.172961,36793272
C. candadensis,-120.990681,37.173712,19577546
C. candadensis,-121.04008,37.17383,9243921
C. candadensis,-120.890177,37.181099,25260444
C. candadensis,-121.197279,37.18718,38797475
C. candadensis,-121.110425,37.194938,17685804
C. candadensis,-120.960856,37.197869,19577550
C. candadensis,-120.836413,37.213455,1138243
C. candadensis,-120.932881,37.217696,2617904
C. candadensis,-120.974839,37.290272,14409156
C. candadensis,-120.875023,37.293296,139970
C. candadensis,-120.940132,37.344569,8474713
C. candadensis,-120.813545,37.012163,10087828
C. candadensis,-120.748726,37.015005,34562753
C. candadensis,-120.937908,37.067396,17948365
C. candadensis,-120.842852,37.077593,36793279
C. candadensis,-120.813701,37.077883,9271116
C. candadensis,-120.844628,37.10179,9742626
C. candadensis,-120.740494,37.114275,34562732
C. candadensis,-120.724088,37.12277,34562796
C. candadensis,-120.676912,37.123964,31162153
C. candadensis,-120.936373,37.137155,37576937
C. candadensis,-120.858116,37.140715,19577549
C. candadensis,-120.87067,37.145502,21437348
C. candadensis,-120.810684,37.192171,16611065
C. candadensis,-120.833277,37.371156,1652527
C. candadensis,-120.8253,37.397316,2617926
C. candadensis,-119.580917,44.150517,7723341
C. candadensis,-119.821013,44.172243,27740196
C. candadensis,-119.752005,44.839418,22391137
C. candadensis,-119.431892,44.216851,26837608
C. candadensis,-120.832495,37.028473,39562863
C. candadensis,-120.767061,37.119743,34562747
C. candadensis,-120.739214,37.147004,34562781
C. candadensis,-120.739132,37.038365,37151975
C. candadensis,-120.716938,37.051162,31162169
C. candadensis,-120.713875,37.118,31162118
C. candadensis,-120.698193,37.080304,31162114
C. candadensis,-120.687872,37.196454,14161283
C. candadensis,-120.65774,37.03363,21437287
C. candadensis,-120.657529,37.104726,36256788
C. candadensis,-120.64275,37.096725,34562807
